Socket Thread, Level 2, Time: 04/02/2018 21:38:33, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:33, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:33, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:33, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:33, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:33, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:37, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:37, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:37, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:37, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:37, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:40, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:40, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:40, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:40, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:40, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:44, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:44, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:44, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:44, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:44, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:44, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:47, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:47, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:47, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:47, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:47, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:50, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:50, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:50, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:50, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:50, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:54, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:54, Message:Sensor value: 22.9375 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:54, Message:Sensor value: 22.9375 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:54, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:54, Message:Sensor value: 0.00000 lux L
Socket Thread, Level 2, Time: 04/02/2018 21:38:57, Message:Sensor value: 23.0000 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:57, Message:Sensor value: 23.0000 deg C
Socket Thread, Level 2, Time: 04/02/2018 21:38:57, Message:Sensor value: 23.0000 deg C
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:57, Message:Sensor value: 0.00000 lux L
Light Sensor Thread, Level 2, Time: 04/02/2018 21:38:57, Message:Sensor value: 0.00000 lux L
